Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,64,64,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,64,128,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,64,256,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,64,512,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,64,1024,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,64,2048,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,64,4096,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,128,128,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,128,256,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,128,512,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,128,1024,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,128,2048,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,128,4096,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,256,256,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,256,512,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,256,1024,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,256,2048,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,256,4096,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,512,512,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,512,1024,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,512,2048,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,512,4096,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,64,64,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,64,128,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,64,256,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,64,512,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,64,1024,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,64,2048,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,64,4096,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,128,128,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,128,256,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,128,512,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,128,1024,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,128,2048,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,128,4096,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,256,256,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,256,512,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,256,1024,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,256,2048,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,256,4096,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,512,512,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,512,1024,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,512,2048,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,512,4096,1,2048,sonnet,1800,128
